,entity,code,year,literacy_rate,mf_youth_and_adults__15_64_years__average_years_of_education,population_historical,owid_region
0,Afghanistan,AFG,1870,,0.01,4101170.0,Asia
1,Afghanistan,AFG,1875,,0.01,4193635.0,Asia
2,Afghanistan,AFG,1880,,0.01,4288021.0,Asia
3,Afghanistan,AFG,1885,,0.01,4384343.0,Asia
4,Afghanistan,AFG,1890,,0.01,4482635.0,Asia
5,Afghanistan,AFG,1895,,0.01,4582928.0,Asia
6,Afghanistan,AFG,1900,,0.01,4707744.0,Asia
7,Afghanistan,AFG,1905,,0.01,4982681.0,Asia
8,Afghanistan,AFG,1910,,0.01,5504191.0,Asia
9,Afghanistan,AFG,1915,,0.02,7654918.0,Asia
10,Afghanistan,AFG,1920,,0.03,10188845.0,Asia
11,Afghanistan,AFG,1925,,0.04,8416077.0,Asia
12,Afghanistan,AFG,1930,,0.04,6626142.0,Asia
13,Afghanistan,AFG,1935,,0.05,6409250.0,Asia
14,Afghanistan,AFG,1940,,0.2,6468510.0,Asia
15,Afghanistan,AFG,1945,,0.22,6917471.0,Asia
16,Afghanistan,AFG,1950,3.0,0.28,7776180.0,Asia
17,Afghanistan,AFG,1955,,0.32,8326981.0,Asia
18,Afghanistan,AFG,1960,,0.39,9035048.0,Asia
19,Afghanistan,AFG,1965,,0.44,10036003.0,Asia
20,Afghanistan,AFG,1970,,0.72,11290134.0,Asia
21,Afghanistan,AFG,1975,,0.97,12773966.0,Asia
22,Afghanistan,AFG,1979,18.16,,13655575.0,Asia
23,Afghanistan,AFG,1980,,1.29,13169313.0,Asia
24,Afghanistan,AFG,1985,,1.73,11426855.0,Asia
25,Afghanistan,AFG,1990,,2.06,12045664.0,Asia
26,Afghanistan,AFG,1995,,2.4,17065837.0,Asia
27,Afghanistan,AFG,2000,,3.03,20130334.0,Asia
28,Afghanistan,AFG,2005,,3.32,24404575.0,Asia
29,Afghanistan,AFG,2010,,3.93,28284088.0,Asia
30,Afghanistan,AFG,2011,31.45,,29347708.0,Asia
31,Afghanistan,AFG,2015,33.75,4.81,33831767.0,Asia
32,Afghanistan,AFG,2020,36.014965,5.69,39068977.0,Asia
33,Afghanistan,AFG,2021,37.27,,40000410.0,Asia
34,Africa,OWID_AFR,1870,,0.057632297,122086255.0,
35,Africa,OWID_AFR,1875,,0.0679372,125042995.0,
36,Africa,OWID_AFR,1880,,0.0829817,128194527.0,
37,Africa,OWID_AFR,1885,,0.10104209,131669056.0,
38,Africa,OWID_AFR,1890,,0.11763715,135054738.0,
39,Africa,OWID_AFR,1895,,0.12729484,136921163.0,
40,Africa,OWID_AFR,1900,,0.14558923,138755559.0,
41,Africa,OWID_AFR,1905,,0.17948055,141220048.0,
42,Africa,OWID_AFR,1910,,0.22879495,144068383.0,
43,Africa,OWID_AFR,1915,,0.3172326,147042086.0,
44,Africa,OWID_AFR,1920,,0.46067154,150865200.0,
45,Africa,OWID_AFR,1925,,0.5505489,159672951.0,
46,Africa,OWID_AFR,1930,,0.65101254,169928217.0,
47,Africa,OWID_AFR,1935,,0.7203865,181010603.0,
48,Africa,OWID_AFR,1940,,0.82451165,193310936.0,
49,Africa,OWID_AFR,1945,,0.9153555,209035596.0,
50,Africa,OWID_AFR,1950,,1.0554335,227776838.0,
51,Africa,OWID_AFR,1955,,1.181265,253538234.0,
52,Africa,OWID_AFR,1960,,1.3246403,283922294.0,
53,Africa,OWID_AFR,1965,,1.5626957,320995365.0,
54,Africa,OWID_AFR,1970,,1.900925,365456903.0,
55,Africa,OWID_AFR,1975,,2.2973142,418322666.0,
56,Africa,OWID_AFR,1980,,2.8511786,482922202.0,
57,Africa,OWID_AFR,1985,,3.4740546,559417482.0,
58,Africa,OWID_AFR,1990,,4.1424775,643490587.0,
59,Africa,OWID_AFR,1995,,4.7085795,732395090.0,
60,Africa,OWID_AFR,2000,,5.012495,830226481.0,
61,Africa,OWID_AFR,2005,,5.4465013,942115143.0,
62,Africa,OWID_AFR,2010,,5.890455,1071809929.0,
63,Africa,OWID_AFR,2015,,6.1954384,1219484027.0,
64,Africa,OWID_AFR,2020,,6.6818657,1379939686.0,
65,Albania,ALB,1870,,0.02,604928.0,Europe
66,Albania,ALB,1875,,0.03,634193.0,Europe
67,Albania,ALB,1880,,0.03,664842.0,Europe
68,Albania,ALB,1885,,0.04,696970.0,Europe
69,Albania,ALB,1890,,0.05,730840.0,Europe
70,Albania,ALB,1895,,0.06,767593.0,Europe
71,Albania,ALB,1900,,0.08,805974.0,Europe
72,Albania,ALB,1905,,0.1,843514.0,Europe
73,Albania,ALB,1910,,0.15,881057.0,Europe
74,Albania,ALB,1915,,0.24,911841.0,Europe
75,Albania,ALB,1920,,0.36,941221.0,Europe
76,Albania,ALB,1925,,0.51,966828.0,Europe
77,Albania,ALB,1930,,0.67,995454.0,Europe
78,Albania,ALB,1935,,0.84,1044694.0,Europe
79,Albania,ALB,1940,,1.08,1100833.0,Europe
80,Albania,ALB,1945,,1.8,1167887.0,Europe
81,Albania,ALB,1950,72.5,2.75,1247854.0,Europe
82,Albania,ALB,1955,,2.93,1418855.0,Europe
83,Albania,ALB,1960,,3.23,1649393.0,Europe
84,Albania,ALB,1965,,3.63,1894317.0,Europe
85,Albania,ALB,1970,,4.63,2181226.0,Europe
86,Albania,ALB,1975,,5.77,2454861.0,Europe
87,Albania,ALB,1980,,6.95,2735424.0,Europe
88,Albania,ALB,1985,,7.93,3026245.0,Europe
89,Albania,ALB,1990,,8.61,3277965.0,Europe
90,Albania,ALB,1995,,8.54,3258573.0,Europe
91,Albania,ALB,2000,,9.93,3166147.0,Europe
92,Albania,ALB,2001,98.71,,3147943.0,Europe
93,Albania,ALB,2005,,10.24,3076156.0,Europe
94,Albania,ALB,2008,95.94,,2992933.0,Europe
95,Albania,ALB,2010,,10.44,2928731.0,Europe
96,Albania,ALB,2011,96.85,,2911499.0,Europe
97,Albania,ALB,2012,97.25,,2910003.0,Europe
98,Albania,ALB,2015,,9.99,2898634.0,Europe
99,Albania,ALB,2017,98.81,,2898245.0,Europe
100,Albania,ALB,2020,,10.32,2871950.0,Europe
101,Albania,ALB,2023,97.68,,2811660.0,Europe
102,Algeria,DZA,1870,,0.1,3478884.0,Africa
103,Algeria,DZA,1875,,0.13,3660312.0,Africa
104,Algeria,DZA,1880,,0.16,3851201.0,Africa
105,Algeria,DZA,1885,,0.2,4052043.0,Africa
106,Algeria,DZA,1890,,0.23,4262454.0,Africa
107,Algeria,DZA,1895,,0.27,4477863.0,Africa
108,Algeria,DZA,1900,,0.39,4721802.0,Africa
109,Algeria,DZA,1905,,0.51,5102742.0,Africa
110,Algeria,DZA,1910,,0.6,5497750.0,Africa
111,Algeria,DZA,1915,,0.58,5678648.0,Africa
112,Algeria,DZA,1920,,0.65,5846192.0,Africa
113,Algeria,DZA,1925,,0.71,6155505.0,Africa
114,Algeria,DZA,1930,,0.74,6530132.0,Africa
115,Algeria,DZA,1935,,0.78,7101299.0,Africa
116,Algeria,DZA,1940,,0.8,7739370.0,Africa
117,Algeria,DZA,1945,,0.82,8351211.0,Africa
118,Algeria,DZA,1950,17.5,0.83,9018423.0,Africa
119,Algeria,DZA,1955,,0.82,10247429.0,Africa
120,Algeria,DZA,1960,,0.9,11424930.0,Africa
121,Algeria,DZA,1965,,1.15,12365979.0,Africa
122,Algeria,DZA,1970,,1.69,13783722.0,Africa
123,Algeria,DZA,1975,,2.26,15678603.0,Africa
124,Algeria,DZA,1980,,3.0,18607175.0,Africa
125,Algeria,DZA,1985,,4.28,22008542.0,Africa
126,Algeria,DZA,1987,49.63,,23443627.0,Africa
127,Algeria,DZA,1990,,5.05,25375815.0,Africa
128,Algeria,DZA,1995,,5.76,28470194.0,Africa
129,Algeria,DZA,2000,,6.06,30903894.0,Africa
130,Algeria,DZA,2002,69.87,,31750832.0,Africa
131,Algeria,DZA,2005,,6.43,33109258.0,Africa
132,Algeria,DZA,2006,72.65,,33623505.0,Africa
133,Algeria,DZA,2008,75.14,,34816963.0,Africa
134,Algeria,DZA,2010,,7.0,36188237.0,Africa
135,Algeria,DZA,2015,,7.55,40019528.0,Africa
136,Algeria,DZA,2020,,8.18,44042094.0,Africa
137,American Samoa,ASM,1950,96.5,,19070.0,Oceania
138,American Samoa,ASM,1980,97.34,,32427.0,Oceania
139,Andorra,AND,1950,82.5,,6018.0,Europe
140,Angola,AGO,1950,3.0,,4551869.0,Africa
141,Angola,AGO,2001,67.41,,16747204.0,Africa
142,Angola,AGO,2014,66.03,,27160767.0,Africa
143,Angola,AGO,2015,66.24,,28157802.0,Africa
144,Angola,AGO,2023,68.18,,36749909.0,Africa
145,Anguilla,AIA,1984,95.41,,6764.0,North America
146,Antigua and Barbuda,ATG,1950,82.5,,45462.0,North America
147,Antigua and Barbuda,ATG,2001,98.95,,76082.0,North America
148,Argentina,ARG,1870,,0.39,1793208.0,South America
149,Argentina,ARG,1875,,0.49,2099028.0,South America
150,Argentina,ARG,1880,,0.59,2456365.0,South America
151,Argentina,ARG,1885,,0.65,2874534.0,South America
152,Argentina,ARG,1890,,0.7,3366831.0,South America
153,Argentina,ARG,1895,,0.83,3964194.0,South America
154,Argentina,ARG,1900,,0.97,4685089.0,South America
155,Argentina,ARG,1905,,1.45,5636349.0,South America
156,Argentina,ARG,1910,,1.81,6748544.0,South America
157,Argentina,ARG,1914,64.9,,7533097.0,South America
158,Argentina,ARG,1915,,2.35,7730214.0,South America
159,Argentina,ARG,1920,,2.94,8818354.0,South America
160,Argentina,ARG,1925,,3.29,10197065.0,South America
161,Argentina,ARG,1930,,3.72,11726853.0,South America
162,Argentina,ARG,1935,,4.04,12887227.0,South America
163,Argentina,ARG,1940,,4.33,14078649.0,South America
164,Argentina,ARG,1945,,4.65,15474655.0,South America
165,Argentina,ARG,1947,86.4,,16077098.0,South America
166,Argentina,ARG,1950,87.5,4.91,17018032.0,South America
167,Argentina,ARG,1955,,5.24,18716036.0,South America
168,Argentina,ARG,1960,,5.69,20386055.0,South America
169,Argentina,ARG,1965,,6.03,22112634.0,South America
170,Argentina,ARG,1970,,6.48,23878330.0,South America
171,Argentina,ARG,1975,,7.03,25874106.0,South America
172,Argentina,ARG,1980,93.91,7.51,28011597.0,South America
173,Argentina,ARG,1985,,8.09,30336448.0,South America
174,Argentina,ARG,1990,,8.67,32755907.0,South America
175,Argentina,ARG,1991,96.04,,33230293.0,South America
176,Argentina,ARG,1995,,8.91,35070016.0,South America
177,Argentina,ARG,2000,,9.08,37213986.0,South America
178,Argentina,ARG,2001,97.19,,37624817.0,South America
179,Argentina,ARG,2005,,9.57,39216786.0,South America
180,Argentina,ARG,2010,,9.71,41288694.0,South America
181,Argentina,ARG,2015,,9.59,43477011.0,South America
182,Argentina,ARG,2020,99.14,9.86,45191960.0,South America
183,Armenia,ARM,1989,98.75,,3443095.0,Asia
184,Armenia,ARM,2001,99.4,,3084350.0,Asia
185,Armenia,ARM,2011,99.74,,2923269.0,Asia
186,Armenia,ARM,2015,,10.45,2921179.0,Asia
187,Armenia,ARM,2016,99.74,,2918796.0,Asia
188,Armenia,ARM,2017,99.74,,2914966.0,Asia
189,Armenia,ARM,2018,100.0,,2909971.0,Asia
190,Armenia,ARM,2019,100.0,,2903975.0,Asia
191,Armenia,ARM,2020,99.79,10.54,2890893.0,Asia
192,Armenia,ARM,2022,99.82,,2880880.0,Asia
193,Armenia,ARM,2023,99.84,,2943398.0,Asia
194,Aruba,ABW,2000,97.29,,88772.0,North America
195,Aruba,ABW,2010,96.82,,100127.0,North America
196,Asia,OWID_ASI,1870,,0.04039264,811727086.0,
197,Asia,OWID_ASI,1875,,0.04591134,822748807.0,
198,Asia,OWID_ASI,1880,,0.055607054,836588561.0,
199,Asia,OWID_ASI,1885,,0.07221849,859815828.0,
200,Asia,OWID_ASI,1890,,0.10366251,885113714.0,
201,Asia,OWID_ASI,1895,,0.13091978,907247338.0,
202,Asia,OWID_ASI,1900,,0.17004845,931021418.0,
203,Asia,OWID_ASI,1905,,0.22860081,963899803.0,
204,Asia,OWID_ASI,1910,,0.29932407,999734197.0,
205,Asia,OWID_ASI,1915,,0.38789332,1036849812.0,
206,Asia,OWID_ASI,1920,,0.5146221,1076882587.0,
207,Asia,OWID_ASI,1925,,0.64359754,1116816909.0,
208,Asia,OWID_ASI,1930,,0.7871046,1161422369.0,
209,Asia,OWID_ASI,1935,,0.9173573,1223537795.0,
210,Asia,OWID_ASI,1940,,1.4270936,1288504299.0,
211,Asia,OWID_ASI,1945,,1.5937337,1326525660.0,
212,Asia,OWID_ASI,1950,,1.83195,1367581793.0,
213,Asia,OWID_ASI,1955,,2.0868373,1523146415.0,
214,Asia,OWID_ASI,1960,,2.409065,1691762696.0,
215,Asia,OWID_ASI,1965,,2.7819846,1894030104.0,
216,Asia,OWID_ASI,1970,,3.3291256,2136911807.0,
217,Asia,OWID_ASI,1975,,3.858355,2388510805.0,
218,Asia,OWID_ASI,1980,,4.4891996,2631643580.0,
219,Asia,OWID_ASI,1985,,4.9444947,2906232641.0,
220,Asia,OWID_ASI,1990,,5.3408546,3209094423.0,
221,Asia,OWID_ASI,1995,,5.9571357,3486817949.0,
222,Asia,OWID_ASI,2000,,6.6289124,3746832777.0,
223,Asia,OWID_ASI,2005,,7.1300015,3992890580.0,
224,Asia,OWID_ASI,2010,,7.6118946,4238694946.0,
225,Asia,OWID_ASI,2015,,8.116568,4482088489.0,
226,Asia,OWID_ASI,2020,,8.571011,4686811214.0,
227,Australia,AUS,1870,,1.72,1759814.0,Oceania
228,Australia,AUS,1875,,1.86,1964491.0,Oceania
229,Australia,AUS,1880,,2.06,2201376.0,Oceania
230,Australia,AUS,1885,,2.39,2595117.0,Oceania
231,Australia,AUS,1890,,2.74,3051532.0,Oceania
232,Australia,AUS,1895,,2.97,3375772.0,Oceania
233,Australia,AUS,1900,,3.09,3693331.0,Oceania
234,Australia,AUS,1905,,3.36,3996273.0,Oceania
235,Australia,AUS,1910,,3.87,4329018.0,Oceania
236,Australia,AUS,1915,,4.29,4772426.0,Oceania
237,Australia,AUS,1920,,4.71,5274343.0,Oceania
238,Australia,AUS,1925,,5.46,5800229.0,Oceania
239,Australia,AUS,1930,,6.01,6332771.0,Oceania
240,Australia,AUS,1935,,6.56,6647662.0,Oceania
241,Australia,AUS,1940,,7.02,6967916.0,Oceania
242,Australia,AUS,1945,,7.48,7516465.0,Oceania
243,Australia,AUS,1950,98.5,8.21,8176751.0,Oceania
244,Australia,AUS,1955,,8.49,9205189.0,Oceania
245,Australia,AUS,1960,,8.78,10280815.0,Oceania
246,Australia,AUS,1965,,9.19,11357479.0,Oceania
247,Australia,AUS,1970,,10.11,12599414.0,Oceania
248,Australia,AUS,1975,,10.8,13893988.0,Oceania
249,Australia,AUS,1980,,11.4,14721345.0,Oceania
250,Australia,AUS,1985,,11.43,15835743.0,Oceania
251,Australia,AUS,1990,,11.44,17126304.0,Oceania
252,Australia,AUS,1995,,11.51,18095340.0,Oceania
253,Australia,AUS,2000,,11.37,19132472.0,Oceania
254,Australia,AUS,2005,,11.71,20294490.0,Oceania
255,Australia,AUS,2010,,11.69,22141583.0,Oceania
256,Australia,AUS,2015,,12.92,23947997.0,Oceania
257,Australia,AUS,2020,,12.93,25743787.0,Oceania
258,Austria,AUT,1870,,2.27,4528451.0,Europe
259,Austria,AUT,1875,,2.4,4728390.0,Europe
260,Austria,AUT,1880,,2.56,4943751.0,Europe
261,Austria,AUT,1885,,2.74,5166297.0,Europe
262,Austria,AUT,1890,,3.04,5403121.0,Europe
263,Austria,AUT,1895,,3.36,5681470.0,Europe
264,Austria,AUT,1900,,3.7,5979176.0,Europe
265,Austria,AUT,1905,,4.03,6292427.0,Europe
266,Austria,AUT,1910,,4.38,6571587.0,Europe
267,Austria,AUT,1915,,4.71,6541966.0,Europe
268,Austria,AUT,1920,,5.03,6486069.0,Europe
269,Austria,AUT,1925,,5.47,6576779.0,Europe
270,Austria,AUT,1930,,5.86,6679644.0,Europe
271,Austria,AUT,1935,,6.25,6702847.0,Europe
272,Austria,AUT,1940,,6.16,6725734.0,Europe
273,Austria,AUT,1945,,5.96,6827667.0,Europe
274,Austria,AUT,1950,98.5,5.89,6936455.0,Europe
275,Austria,AUT,1955,,5.64,6946659.0,Europe
276,Austria,AUT,1960,,5.67,7047274.0,Europe
277,Austria,AUT,1965,,6.54,7270413.0,Europe
278,Austria,AUT,1970,,7.26,7466320.0,Europe
279,Austria,AUT,1975,,7.44,7577833.0,Europe
280,Austria,AUT,1980,,7.6,7548407.0,Europe
281,Austria,AUT,1985,,7.84,7564310.0,Europe
282,Austria,AUT,1990,,8.26,7679627.0,Europe
283,Austria,AUT,1995,,8.93,7950322.0,Europe
284,Austria,AUT,2000,,9.43,8012929.0,Europe
285,Austria,AUT,2005,,9.89,8229204.0,Europe
286,Austria,AUT,2010,,10.13,8365087.0,Europe
287,Austria,AUT,2015,,10.27,8644037.0,Europe
288,Austria,AUT,2020,,10.39,8921402.0,Europe
289,Azerbaijan,AZE,1999,98.79,,8100472.0,Asia
290,Azerbaijan,AZE,2007,99.59,,8828313.0,Asia
291,Azerbaijan,AZE,2009,99.76,,9046336.0,Asia
292,Azerbaijan,AZE,2010,99.77,,9146852.0,Asia
293,Azerbaijan,AZE,2011,99.78,,9256156.0,Asia
294,Azerbaijan,AZE,2012,99.78,,9376179.0,Asia
295,Azerbaijan,AZE,2013,99.79,,9504417.0,Asia
296,Azerbaijan,AZE,2014,99.79,,9631136.0,Asia
297,Azerbaijan,AZE,2015,99.79,,9752859.0,Asia
298,Azerbaijan,AZE,2016,99.79,,9868434.0,Asia
299,Azerbaijan,AZE,2017,99.79,,9968510.0,Asia
300,Azerbaijan,AZE,2019,99.8,,10110483.0,Asia
301,Azerbaijan,AZE,2023,99.78,,10318209.0,Asia
302,Bahamas,BHS,1950,77.5,,83505.0,North America
303,Bahrain,BHR,1950,12.5,,117275.0,Asia
304,Bahrain,BHR,1981,69.75,,373534.0,Asia
305,Bahrain,BHR,1991,84.01,,531883.0,Asia
306,Bahrain,BHR,2001,86.55,,699964.0,Asia
307,Bahrain,BHR,2015,,7.82,1369656.0,Asia
308,Bahrain,BHR,2020,,8.21,1483081.0,Asia
309,Bahrain,BHR,2022,97.87,,1533460.0,Asia
310,Bahrain,BHR,2023,97.85,,1569674.0,Asia
311,Bangladesh,BGD,1870,,0.01,23756533.0,Asia
312,Bangladesh,BGD,1875,,0.02,24228546.0,Asia
313,Bangladesh,BGD,1880,,0.02,24737232.0,Asia
314,Bangladesh,BGD,1885,,0.03,25253705.0,Asia
315,Bangladesh,BGD,1890,,0.03,25777945.0,Asia
316,Bangladesh,BGD,1895,,0.04,26309922.0,Asia
317,Bangladesh,BGD,1900,,0.06,26849595.0,Asia
318,Bangladesh,BGD,1905,,0.2,27396914.0,Asia
319,Bangladesh,BGD,1910,,0.33,27913022.0,Asia
320,Bangladesh,BGD,1915,,0.44,28188438.0,Asia
321,Bangladesh,BGD,1920,,0.42,28623503.0,Asia
322,Bangladesh,BGD,1925,,0.5,29200387.0,Asia
323,Bangladesh,BGD,1930,,0.58,30077163.0,Asia
324,Bangladesh,BGD,1935,,0.65,32901598.0,Asia
325,Bangladesh,BGD,1940,,0.75,36071677.0,Asia
326,Bangladesh,BGD,1945,,0.85,37872937.0,Asia
327,Bangladesh,BGD,1950,,0.93,41206857.0,Asia
328,Bangladesh,BGD,1955,,0.95,45767686.0,Asia
329,Bangladesh,BGD,1960,,1.03,51828663.0,Asia
330,Bangladesh,BGD,1965,,1.27,59902522.0,Asia
331,Bangladesh,BGD,1970,,1.41,69058898.0,Asia
332,Bangladesh,BGD,1975,,1.63,77854352.0,Asia
333,Bangladesh,BGD,1980,,2.31,88016435.0,Asia
334,Bangladesh,BGD,1981,29.23,,90303104.0,Asia
335,Bangladesh,BGD,1985,,2.87,100253825.0,Asia
336,Bangladesh,BGD,1990,,3.15,111633722.0,Asia
337,Bangladesh,BGD,1991,35.32,,113787112.0,Asia
338,Bangladesh,BGD,1995,,3.72,122600372.0,Asia
339,Bangladesh,BGD,2000,,4.77,134544303.0,Asia
340,Bangladesh,BGD,2001,47.49,,136805810.0,Asia
341,Bangladesh,BGD,2005,,5.51,144715789.0,Asia
342,Bangladesh,BGD,2010,,6.22,152201978.0,Asia
343,Bangladesh,BGD,2011,58.77,,153591074.0,Asia
344,Bangladesh,BGD,2012,57.86,,155070110.0,Asia
345,Bangladesh,BGD,2013,61.02,,156532134.0,Asia
346,Bangladesh,BGD,2014,61.09,,157964931.0,Asia
347,Bangladesh,BGD,2015,65.14,6.76,159383179.0,Asia
348,Bangladesh,BGD,2016,72.76,,160811934.0,Asia
349,Bangladesh,BGD,2017,72.89,,162186146.0,Asia
350,Bangladesh,BGD,2018,73.91,,163523109.0,Asia
351,Bangladesh,BGD,2019,74.68,,164913060.0,Asia
352,Bangladesh,BGD,2020,74.91,7.23,166298024.0,Asia
353,Bangladesh,BGD,2021,76.36,,167658855.0,Asia
354,Bangladesh,BGD,2022,79.0,,169384891.0,Asia
355,Barbados,BRB,1870,,0.94,161956.0,North America
356,Barbados,BRB,1875,,1.06,166833.0,North America
357,Barbados,BRB,1880,,1.21,171907.0,North America
358,Barbados,BRB,1885,,1.28,177276.0,North America
359,Barbados,BRB,1890,,1.37,182909.0,North America
360,Barbados,BRB,1895,,1.41,189198.0,North America
361,Barbados,BRB,1900,,1.52,193451.0,North America
362,Barbados,BRB,1905,,1.97,183403.0,North America
363,Barbados,BRB,1910,,1.95,172186.0,North America
364,Barbados,BRB,1915,,2.29,164092.0,North America
365,Barbados,BRB,1920,,2.7,158593.0,North America
366,Barbados,BRB,1925,,2.96,165039.0,North America
367,Barbados,BRB,1930,,3.19,173809.0,North America
368,Barbados,BRB,1935,,3.53,183461.0,North America
369,Barbados,BRB,1940,,3.91,193407.0,North America
370,Barbados,BRB,1945,,4.33,201857.0,North America
371,Barbados,BRB,1950,92.5,4.68,209928.0,North America
372,Barbados,BRB,1955,,4.85,223296.0,North America
373,Barbados,BRB,1960,,5.08,230901.0,North America
374,Barbados,BRB,1965,,6.79,242421.0,North America
375,Barbados,BRB,1970,99.27,8.59,249398.0,North America
376,Barbados,BRB,1975,,7.95,251188.0,North America
377,Barbados,BRB,1980,,7.72,251533.0,North America
378,Barbados,BRB,1985,,8.42,255831.0,North America
379,Barbados,BRB,1990,,8.79,258583.0,North America
380,Barbados,BRB,1995,,9.07,262046.0,North America
381,Barbados,BRB,2000,,9.23,262071.0,North America
382,Barbados,BRB,2005,,9.41,268717.0,North America
383,Barbados,BRB,2010,,9.57,275251.0,North America
384,Barbados,BRB,2015,,9.46,278999.0,North America
385,Barbados,BRB,2020,,9.67,281706.0,North America
386,Belarus,BLR,1989,97.88,,10158779.0,Europe
387,Belarus,BLR,1999,99.59,,10039221.0,Europe
388,Belarus,BLR,2009,99.62,,9507334.0,Europe
389,Belarus,BLR,2019,99.87,,9435415.0,Europe
390,Belgium,BEL,1475,10.0,,1250000.0,Europe
391,Belgium,BEL,1550,17.0,,1500000.0,Europe
392,Belgium,BEL,1650,25.0,,1750000.0,Europe
393,Belgium,BEL,1750,13.0,,2578639.0,Europe
394,Belgium,BEL,1870,,2.43,5094086.0,Europe
395,Belgium,BEL,1875,,2.39,5306815.0,Europe
396,Belgium,BEL,1880,,2.56,5536082.0,Europe
397,Belgium,BEL,1885,,2.65,5801075.0,Europe
398,Belgium,BEL,1890,,2.64,6083656.0,Europe
399,Belgium,BEL,1895,,2.65,6384484.0,Europe
400,Belgium,BEL,1900,80.4,2.66,6705987.0,Europe
401,Belgium,BEL,1905,,2.77,7076924.0,Europe
402,Belgium,BEL,1910,86.6,3.09,7427418.0,Europe
403,Belgium,BEL,1915,,3.26,7497707.0,Europe
404,Belgium,BEL,1920,92.2,3.48,7551028.0,Europe
405,Belgium,BEL,1925,,3.75,7780807.0,Europe
406,Belgium,BEL,1930,94.1,4.27,8029570.0,Europe
407,Belgium,BEL,1935,,4.65,8179335.0,Europe
408,Belgium,BEL,1940,,5.17,8315772.0,Europe
409,Belgium,BEL,1945,,5.93,8459824.0,Europe
410,Belgium,BEL,1950,96.5,6.85,8617442.0,Europe
411,Belgium,BEL,1955,,7.17,8835492.0,Europe
412,Belgium,BEL,1960,,7.4,9102172.0,Europe
413,Belgium,BEL,1965,,7.56,9399851.0,Europe
414,Belgium,BEL,1970,,7.98,9630508.0,Europe
415,Belgium,BEL,1975,,8.39,9748472.0,Europe
416,Belgium,BEL,1980,,8.93,9833093.0,Europe
417,Belgium,BEL,1985,,9.41,9880338.0,Europe
418,Belgium,BEL,1990,,10.0,9960968.0,Europe
419,Belgium,BEL,1995,,10.64,10137264.0,Europe
420,Belgium,BEL,2000,,10.95,10251719.0,Europe
421,Belgium,BEL,2005,,11.11,10478883.0,Europe
422,Belgium,BEL,2010,,11.29,10936619.0,Europe
423,Belgium,BEL,2015,,11.36,11275332.0,Europe
424,Belgium,BEL,2020,,11.57,11540102.0,Europe
425,Belize,BLZ,1870,,0.4,25444.0,North America
426,Belize,BLZ,1875,,0.5,26330.0,North America
427,Belize,BLZ,1880,,0.61,27537.0,North America
428,Belize,BLZ,1885,,0.76,29478.0,North America
429,Belize,BLZ,1890,,0.94,31745.0,North America
430,Belize,BLZ,1895,,1.14,34693.0,North America
431,Belize,BLZ,1900,,1.36,37771.0,North America
432,Belize,BLZ,1905,,1.98,39605.0,North America
433,Belize,BLZ,1910,,2.56,41386.0,North America
434,Belize,BLZ,1915,,3.06,43907.0,North America
435,Belize,BLZ,1920,,3.78,46640.0,North America
436,Belize,BLZ,1925,,4.15,49630.0,North America
437,Belize,BLZ,1930,,4.53,52902.0,North America
438,Belize,BLZ,1935,,4.91,56832.0,North America
439,Belize,BLZ,1940,,5.3,60990.0,North America
440,Belize,BLZ,1945,,5.65,64546.0,North America
441,Belize,BLZ,1950,77.5,7.28,69085.0,North America
442,Belize,BLZ,1955,,7.46,79867.0,North America
443,Belize,BLZ,1960,,7.8,91330.0,North America
444,Belize,BLZ,1965,,7.91,104689.0,North America
445,Belize,BLZ,1970,,7.86,120746.0,North America
446,Belize,BLZ,1975,,8.11,130403.0,North America
447,Belize,BLZ,1980,,7.88,145072.0,North America
448,Belize,BLZ,1985,,8.1,163812.0,North America
449,Belize,BLZ,1990,,8.97,183090.0,North America
450,Belize,BLZ,1991,70.3,,187056.0,North America
451,Belize,BLZ,1995,,9.62,204165.0,North America
452,Belize,BLZ,2000,76.9,10.19,240809.0,North America
453,Belize,BLZ,2005,,10.77,279747.0,North America
454,Belize,BLZ,2010,,11.28,320256.0,North America
455,Belize,BLZ,2015,90.92,10.56,356341.0,North America
456,Belize,BLZ,2020,,10.71,390819.0,North America
457,Belize,BLZ,2022,87.88,,402741.0,North America
458,Benin,BEN,1870,,0.01,924897.0,Africa
459,Benin,BEN,1875,,0.01,973488.0,Africa
460,Benin,BEN,1880,,0.01,1023293.0,Africa
461,Benin,BEN,1885,,0.01,1065415.0,Africa
462,Benin,BEN,1890,,0.01,1106908.0,Africa
463,Benin,BEN,1895,,0.01,1145820.0,Africa
464,Benin,BEN,1900,,0.02,1187522.0,Africa
465,Benin,BEN,1905,,0.02,1244910.0,Africa
466,Benin,BEN,1910,,0.02,1306722.0,Africa
467,Benin,BEN,1915,,0.03,1367585.0,Africa
468,Benin,BEN,1920,,0.04,1429764.0,Africa
469,Benin,BEN,1925,,0.12,1533380.0,Africa
470,Benin,BEN,1930,,0.2,1650885.0,Africa
471,Benin,BEN,1935,,0.27,1770751.0,Africa
472,Benin,BEN,1940,,0.41,1902827.0,Africa
473,Benin,BEN,1945,,0.48,2075585.0,Africa
474,Benin,BEN,1950,,0.52,2250476.0,Africa
475,Benin,BEN,1955,,0.61,2353653.0,Africa
