,entity,code,year,youth_literacy_rate__population_15_24_years__male__pct__lr_ag15t24_m,youth_literacy_rate__population_15_24_years__female__pct__lr_ag15t24_f,owid_region
118,Bolivia,BOL,2006,99.4,97.4,South America
119,Bolivia,BOL,2007,99.75,99.14,South America
120,Bolivia,BOL,2008,99.39,98.88,South America
121,Bolivia,BOL,2009,99.69,99.08,South America
122,Bolivia,BOL,2011,99.25,98.77,South America
123,Bolivia,BOL,2012,99.16,98.83,South America
124,Bolivia,BOL,2013,99.5,99.2,South America
125,Bolivia,BOL,2014,99.7,99.2,South America
126,Bolivia,BOL,2015,99.39,99.4,South America
127,Bolivia,BOL,2016,99.5,99.3,South America
128,Bolivia,BOL,2017,99.4,99.3,South America
129,Bolivia,BOL,2018,99.7,99.4,South America
130,Bolivia,BOL,2019,99.7,99.4,South America
131,Bolivia,BOL,2020,99.58,99.53,South America
132,Bolivia,BOL,2021,99.5,99.5,South America
133,Bolivia,BOL,2023,99.43,99.6,South America
134,Bolivia,BOL,2024,99.85,99.7,South America
135,Bosnia and Herzegovina,BIH,1991,99.29,98.74,Europe
136,Bosnia and Herzegovina,BIH,2000,99.75,99.84,Europe
137,Bosnia and Herzegovina,BIH,2006,,99.82,Europe
138,Bosnia and Herzegovina,BIH,2013,99.66,99.67,Europe
139,Botswana,BWA,1991,85.9,92.25,Africa
140,Botswana,BWA,2003,92.08,95.6,Africa
141,Brazil,BRA,1980,82.56,85.24,South America
142,Brazil,BRA,2000,92.65,95.72,South America
143,Brazil,BRA,2001,94.7,96.9,South America
144,Brazil,BRA,2002,95.1,97.5,South America
145,Brazil,BRA,2003,95.6,97.7,South America
146,Brazil,BRA,2004,95.78,97.9,South America
147,Brazil,BRA,2005,96.1,98.1,South America
148,Brazil,BRA,2006,96.8,98.36,South America
149,Brazil,BRA,2007,97.06,98.56,South America
150,Brazil,BRA,2008,97.18,98.53,South America
151,Brazil,BRA,2009,97.45,98.69,South America
152,Brazil,BRA,2010,96.72,98.32,South America
153,Brazil,BRA,2011,97.91,99.07,South America
154,Brazil,BRA,2012,98.23,99.02,South America
155,Brazil,BRA,2013,98.25,99.23,South America
156,Brazil,BRA,2014,98.45,99.25,South America
157,Brazil,BRA,2015,98.6,99.35,South America
158,Brazil,BRA,2016,98.78,99.46,South America
159,Brazil,BRA,2017,98.84,99.48,South America
160,Brazil,BRA,2018,98.98,99.43,South America
161,Brazil,BRA,2019,98.7,99.5,South America
162,Brazil,BRA,2020,99.0,99.5,South America
163,Brazil,BRA,2021,99.1,99.5,South America
164,Brazil,BRA,2022,99.0,99.6,South America
165,Brazil,BRA,2023,99.0,99.6,South America
166,Brazil,BRA,2024,99.24,99.69,South America
167,Brunei,BRN,1981,94.06,93.24,Asia
168,Brunei,BRN,1991,98.11,98.08,Asia
169,Brunei,BRN,2001,98.87,98.91,Asia
170,Brunei,BRN,2011,99.2,99.55,Asia
171,Bulgaria,BGR,2001,98.31,98.11,Europe
172,Bulgaria,BGR,2011,98.07,97.65,Europe
173,Burkina Faso,BFA,1975,22.38,6.66,Africa
174,Burkina Faso,BFA,1991,26.79,14.17,Africa
175,Burkina Faso,BFA,1996,25.48,13.99,Africa
176,Burkina Faso,BFA,2003,38.38,24.81,Africa
177,Burkina Faso,BFA,2005,40.38,26.48,Africa
178,Burkina Faso,BFA,2006,39.82,26.53,Africa
179,Burkina Faso,BFA,2007,46.73,33.13,Africa
180,Burkina Faso,BFA,2010,47.04,27.24,Africa
181,Burkina Faso,BFA,2014,56.99,43.99,Africa
182,Burkina Faso,BFA,2018,63.86,54.45,Africa
183,Burkina Faso,BFA,2019,51.15,43.56,Africa
184,Burkina Faso,BFA,2021,66.65,58.76,Africa
185,Burkina Faso,BFA,2022,65.47,60.57,Africa
186,Burkina Faso,BFA,2023,,67.07696,Africa
187,Burundi,BDI,1979,40.93,21.49,Africa
188,Burundi,BDI,1990,59.5,48.01,Africa
189,Burundi,BDI,2000,76.78,70.37,Africa
190,Burundi,BDI,2005,,52.83,Africa
191,Burundi,BDI,2008,66.61,57.32,Africa
192,Burundi,BDI,2010,82.66,66.51,Africa
193,Burundi,BDI,2014,85.29,74.96,Africa
194,Burundi,BDI,2016,86.76,82.09,Africa
195,Burundi,BDI,2017,91.03,85.62,Africa
196,Burundi,BDI,2020,88.23915,88.52026,Africa
197,Cambodia,KHM,1998,81.85,71.07,Asia
198,Cambodia,KHM,2000,,54.67,Asia
199,Cambodia,KHM,2004,87.92,78.9,Asia
200,Cambodia,KHM,2005,100.0,67.33,Asia
201,Cambodia,KHM,2008,89.38,85.53,Asia
202,Cambodia,KHM,2009,88.36,85.85,Asia
203,Cambodia,KHM,2010,80.6,78.02,Asia
204,Cambodia,KHM,2013,91.27,90.23,Asia
205,Cambodia,KHM,2014,89.92,90.37,Asia
206,Cambodia,KHM,2015,91.86,92.57,Asia
207,Cambodia,KHM,2019,94.41,95.1,Asia
208,Cambodia,KHM,2020,93.20434,95.40721,Asia
209,Cambodia,KHM,2021,90.31,93.51,Asia
210,Cambodia,KHM,2023,95.8949,97.25976,Asia
211,Cameroon,CMR,1976,79.59,59.06,Africa
212,Cameroon,CMR,2000,88.42,77.96,Africa
213,Cameroon,CMR,2004,81.39,67.65,Africa
214,Cameroon,CMR,2006,,64.67,Africa
215,Cameroon,CMR,2007,89.42,77.48,Africa
216,Cameroon,CMR,2010,85.4,76.42,Africa
217,Cameroon,CMR,2011,86.92,73.41,Africa
218,Cameroon,CMR,2018,87.6,76.39,Africa
219,Cape Verde,CPV,1990,89.95,86.42,Africa
220,Cape Verde,CPV,2009,96.15344,97.89744,Africa
221,Cape Verde,CPV,2012,97.87,98.4,Africa
222,Cape Verde,CPV,2015,97.59,98.73,Africa
223,Cape Verde,CPV,2024,98.46,98.16,Africa
224,Cayman Islands,CYM,2007,99.14,98.62,North America
225,Cayman Islands,CYM,2017,99.14,98.62,North America
226,Central African Republic,CAF,1975,56.26,20.34,Africa
227,Central African Republic,CAF,1988,62.56,34.85,Africa
228,Central African Republic,CAF,2000,72.59,49.02,Africa
229,Central African Republic,CAF,2006,,21.51,Africa
230,Central African Republic,CAF,2010,,27.63,Africa
231,Central African Republic,CAF,2019,64.9,36.68,Africa
232,Central and Southern Asia (SDG),,1975,63.86,36.13,
233,Central and Southern Asia (SDG),,1976,63.86,36.18,
234,Central and Southern Asia (SDG),,1977,64.29,37.29,
235,Central and Southern Asia (SDG),,1978,64.63,38.4,
236,Central and Southern Asia (SDG),,1979,64.89,39.51,
237,Central and Southern Asia (SDG),,1980,65.08,40.51,
238,Central and Southern Asia (SDG),,1981,65.13,41.38,
239,Central and Southern Asia (SDG),,1982,65.34,42.47,
240,Central and Southern Asia (SDG),,1983,65.51,43.58,
241,Central and Southern Asia (SDG),,1984,65.62,44.66,
242,Central and Southern Asia (SDG),,1985,65.78,45.73,
243,Central and Southern Asia (SDG),,1986,65.97,46.83,
244,Central and Southern Asia (SDG),,1987,66.23,47.89,
245,Central and Southern Asia (SDG),,1988,69.02,45.87,
246,Central and Southern Asia (SDG),,1989,69.85,47.49,
247,Central and Southern Asia (SDG),,1990,70.73,49.31,
248,Central and Southern Asia (SDG),,1991,71.37,50.84,
249,Central and Southern Asia (SDG),,1992,72.68,52.29,
250,Central and Southern Asia (SDG),,1993,73.97,53.72,
251,Central and Southern Asia (SDG),,1994,74.59,55.25,
252,Central and Southern Asia (SDG),,1995,75.26,56.93,
253,Central and Southern Asia (SDG),,1996,75.91,58.46,
254,Central and Southern Asia (SDG),,1997,76.52,59.81,
255,Central and Southern Asia (SDG),,1998,80.42,62.44,
256,Central and Southern Asia (SDG),,1999,81.01,64.23,
257,Central and Southern Asia (SDG),,2000,81.5,65.93,
258,Central and Southern Asia (SDG),,2001,81.98,67.56,
259,Central and Southern Asia (SDG),,2002,82.5,69.17,
260,Central and Southern Asia (SDG),,2003,83.58,70.39,
261,Central and Southern Asia (SDG),,2004,83.99,71.89,
262,Central and Southern Asia (SDG),,2005,85.56,72.11,
263,Central and Southern Asia (SDG),,2006,84.48,73.06,
264,Central and Southern Asia (SDG),,2007,84.73,74.58,
265,Central and Southern Asia (SDG),,2008,85.62,76.15,
266,Central and Southern Asia (SDG),,2009,86.09,77.68,
267,Central and Southern Asia (SDG),,2010,87.63,79.07,
268,Central and Southern Asia (SDG),,2011,87.71,80.12,
269,Central and Southern Asia (SDG),,2012,88.06,80.96,
270,Central and Southern Asia (SDG),,2013,89.14,82.66,
271,Central and Southern Asia (SDG),,2014,89.48,83.8,
272,Central and Southern Asia (SDG),,2015,90.08,85.19,
273,Central and Southern Asia (SDG),,2016,90.82,86.56,
274,Central and Southern Asia (SDG),,2017,91.22,87.13,
275,Central and Southern Asia (SDG),,2018,91.15,86.92,
276,Central and Southern Asia (SDG),,2019,93.78,89.29,
277,Central and Southern Asia (SDG),,2020,94.02,89.96,
278,Central and Southern Asia (SDG),,2021,94.32,90.62,
279,Central and Southern Asia (SDG),,2022,94.46,91.15,
280,Central and Southern Asia (SDG),,2023,94.74,91.82,
281,Central and Southern Asia (SDG),,2024,94.98,92.42,
282,Chad,TCD,1993,26.25,8.95,Africa
283,Chad,TCD,2000,55.69,23.24,Africa
284,Chad,TCD,2004,53.71,30.77,Africa
285,Chad,TCD,2010,,16.88,Africa
286,Chad,TCD,2016,40.69,22.39,Africa
287,Chad,TCD,2019,56.26,33.32,Africa
288,Chile,CHL,1982,96.18,97.12,South America
289,Chile,CHL,1992,98.16,98.7,South America
290,Chile,CHL,2000,98.9,99.3,South America
291,Chile,CHL,2002,98.8,99.18,South America
292,Chile,CHL,2003,98.9,99.4,South America
293,Chile,CHL,2006,98.9,99.3,South America
294,Chile,CHL,2009,99.2,99.5,South America
295,Chile,CHL,2011,99.21,99.61,South America
296,Chile,CHL,2013,99.01,99.09,South America
297,Chile,CHL,2015,99.27,99.44,South America
298,Chile,CHL,2017,99.01,99.01,South America
299,Chile,CHL,2022,99.1,99.5,South America
300,China,CHN,1982,95.21,82.1,Asia
301,China,CHN,1990,96.98,91.45,Asia
302,China,CHN,2000,99.2,98.5,Asia
303,China,CHN,2010,99.69,99.59,Asia
304,China,CHN,2020,99.75,99.76,Asia
305,Colombia,COL,1993,94.64,96.28,South America
306,Colombia,COL,1996,96.39,97.57,South America
307,Colombia,COL,2000,,100.0,South America
308,Colombia,COL,2002,96.9,98.0,South America
309,Colombia,COL,2003,96.7,98.3,South America
310,Colombia,COL,2004,97.55,98.41,South America
311,Colombia,COL,2005,97.52,98.37,South America
312,Colombia,COL,2006,97.53,98.19,South America
313,Colombia,COL,2007,97.48,98.42,South America
314,Colombia,COL,2008,97.55,98.43,South America
315,Colombia,COL,2009,97.44,98.43,South America
316,Colombia,COL,2010,97.68,98.52,South America
317,Colombia,COL,2011,97.76,98.72,South America
318,Colombia,COL,2012,97.8,98.7,South America
319,Colombia,COL,2013,97.8,98.8,South America
320,Colombia,COL,2014,98.11,98.97,South America
321,Colombia,COL,2015,98.16,98.92,South America
322,Colombia,COL,2016,98.31,99.03,South America
323,Colombia,COL,2017,98.3,99.0,South America
324,Colombia,COL,2018,98.63,99.07,South America
325,Colombia,COL,2019,98.5,99.16,South America
326,Colombia,COL,2020,98.73,99.29,South America
327,Colombia,COL,2021,98.8,99.4,South America
328,Colombia,COL,2022,98.6,99.2,South America
329,Colombia,COL,2023,98.7,99.2,South America
330,Colombia,COL,2024,98.42,99.53,South America
331,Comoros,COM,1980,69.36,54.9,Africa
332,Comoros,COM,2000,83.95,77.56,Africa
333,Comoros,COM,2012,85.0,78.59,Africa
334,Comoros,COM,2014,87.35409,84.79115,Africa
335,Comoros,COM,2021,90.2747,91.43615,Africa
336,Congo,COG,1984,92.42,82.83,Africa
337,Congo,COG,2005,88.25,70.54,Africa
338,Costa Rica,CRI,1984,96.75,97.54,North America
339,Costa Rica,CRI,2000,97.2,98.04,North America
340,Costa Rica,CRI,2011,99.01,99.26,North America
341,Costa Rica,CRI,2018,,99.63,North America
342,Cote d'Ivoire,CIV,1988,59.93,37.85,Africa
343,Cote d'Ivoire,CIV,1998,54.4,39.85,Africa
344,Cote d'Ivoire,CIV,2000,70.84,52.13,Africa
345,Cote d'Ivoire,CIV,2006,,38.57,Africa
346,Cote d'Ivoire,CIV,2014,59.12,47.04,Africa
