,entity,code,year,gdp_percapita,owid_region_x,average_years_of_education,population_historical,owid_region_y
1136,Morocco,MAR,2015,8198.809,Africa,6.15,34607590.0,Africa
1137,Morocco,MAR,2020,8054.563,Africa,6.83,36584208.0,Africa
1138,Mozambique,MOZ,1990,547.6228,Africa,1.06,13094535.0,Africa
1139,Mozambique,MOZ,1995,525.4187,Africa,0.98,15960530.0,Africa
1141,Mozambique,MOZ,2000,711.9764,Africa,1.13,18129652.0,Africa
1143,Mozambique,MOZ,2005,970.38995,Africa,1.34,20304577.0,Africa
1145,Mozambique,MOZ,2010,1224.2302,Africa,2.03,22999234.0,Africa
1146,Mozambique,MOZ,2015,1512.5997,Africa,3.31,26547576.0,Africa
1148,Mozambique,MOZ,2020,1466.1248,Africa,4.22,30783685.0,Africa
1150,Myanmar,MMR,1990,775.32825,Asia,2.99,39817253.0,Asia
1151,Myanmar,MMR,1995,962.2094,Asia,3.4,42605343.0,Asia
1152,Myanmar,MMR,2000,1359.9304,Asia,3.89,45290850.0,Asia
1153,Myanmar,MMR,2005,2377.9026,Asia,4.45,47438362.0,Asia
1154,Myanmar,MMR,2010,3893.7903,Asia,5.11,49024376.0,Asia
1156,Myanmar,MMR,2015,5313.886,Asia,5.9,51089060.0,Asia
1160,Myanmar,MMR,2020,5926.8345,Asia,6.48,53016525.0,Asia
1164,Namibia,NAM,2015,12166.565,Africa,6.64,2374305.0,Africa
1167,Namibia,NAM,2020,9652.248,Africa,6.88,2728760.0,Africa
1171,Nepal,NPL,1990,1808.2649,Asia,2.58,19524579.0,Asia
1173,Nepal,NPL,1995,2043.6052,Asia,2.76,22245443.0,Asia
1174,Nepal,NPL,2000,2340.8157,Asia,3.13,24546509.0,Asia
1176,Nepal,NPL,2005,2580.231,Asia,3.74,26309462.0,Asia
1178,Nepal,NPL,2010,3085.314,Asia,4.44,27341955.0,Asia
1180,Nepal,NPL,2015,3745.2617,Asia,5.44,27823631.0,Asia
1184,Nepal,NPL,2020,4412.542,Asia,6.19,28966580.0,Asia
1185,Netherlands,NLD,1990,43128.31,Europe,10.59,15030886.0,Europe
1186,Netherlands,NLD,1995,46720.28,Europe,10.88,15565034.0,Europe
1187,Netherlands,NLD,2000,56016.832,Europe,11.14,16058757.0,Europe
1188,Netherlands,NLD,2005,58422.03,Europe,11.15,16465707.0,Europe
1189,Netherlands,NLD,2010,61518.58,Europe,11.71,16771232.0,Europe
1190,Netherlands,NLD,2015,63081.41,Europe,11.74,17107429.0,Europe
1191,Netherlands,NLD,2020,64862.188,Europe,11.82,17636732.0,Europe
1192,New Zealand,NZL,1990,30785.701,Oceania,11.69,3396981.0,Oceania
1193,New Zealand,NZL,1995,32687.465,Oceania,11.81,3674434.0,Oceania
1194,New Zealand,NZL,2000,35984.63,Oceania,11.98,3857576.0,Oceania
1195,New Zealand,NZL,2005,40970.297,Oceania,12.0,4135002.0,Oceania
1196,New Zealand,NZL,2010,41395.37,Oceania,11.12,4347766.0,Oceania
1197,New Zealand,NZL,2015,45097.016,Oceania,10.91,4614035.0,Oceania
1198,New Zealand,NZL,2020,46326.38,Oceania,10.81,5069895.0,Oceania
1199,Nicaragua,NIC,1990,4217.6084,North America,4.64,4162566.0,North America
1200,Nicaragua,NIC,1995,4130.2856,North America,5.19,4642933.0,North America
1201,Nicaragua,NIC,2000,4878.2476,North America,5.7,5022636.0,North America
1203,Nicaragua,NIC,2005,5356.958,North America,6.28,5342108.0,North America
1204,Nicaragua,NIC,2010,5701.1274,North America,6.82,5737451.0,North America
1207,Nicaragua,NIC,2015,6939.032,North America,7.25,6149417.0,North America
1208,Nicaragua,NIC,2020,6523.3696,North America,7.76,6565267.0,North America
1209,Niger,NER,1990,1420.2306,Africa,1.08,8286066.0,Africa
1210,Niger,NER,1995,1287.9364,Africa,1.28,9714537.0,Africa
1211,Niger,NER,2000,1197.6348,Africa,1.43,11509634.0,Africa
1213,Niger,NER,2005,1241.2007,Africa,1.62,13756192.0,Africa
1214,Niger,NER,2010,1344.4989,Africa,1.95,16548833.0,Africa
1217,Niger,NER,2015,1480.3982,Africa,2.44,19939496.0,Africa
1219,Niger,NER,2020,1622.2787,Africa,3.04,23717615.0,Africa
1240,Norway,NOR,1990,56608.254,Europe,10.79,4241440.0,Europe
1241,Norway,NOR,1995,66033.88,Europe,11.31,4358991.0,Europe
1242,Norway,NOR,2000,76775.945,Europe,11.56,4490864.0,Europe
1243,Norway,NOR,2005,83955.336,Europe,11.91,4623120.0,Europe
1244,Norway,NOR,2010,84604.516,Europe,11.65,4889160.0,Europe
1245,Norway,NOR,2015,87688.12,Europe,12.11,5189777.0,Europe
1246,Norway,NOR,2020,89012.27,Europe,12.08,5379275.0,Europe
1255,Pakistan,PAK,1990,3199.7297,Asia,3.05,116155584.0,Asia
1256,Pakistan,PAK,1995,3462.4734,Asia,3.52,134582255.0,Asia
1258,Pakistan,PAK,2000,3531.713,Asia,4.04,154879124.0,Asia
1259,Pakistan,PAK,2005,4042.1545,Asia,5.05,175453212.0,Asia
1264,Pakistan,PAK,2010,4228.7817,Asia,5.22,199239048.0,Asia
1269,Pakistan,PAK,2015,4645.286,Asia,5.89,217290884.0,Asia
1273,Pakistan,PAK,2020,5135.0146,Asia,6.41,235001745.0,Asia
1297,Panama,PAN,1990,10263.692,North America,8.08,2455588.0,North America
1298,Panama,PAN,1995,12086.648,North America,8.71,2724555.0,North America
1299,Panama,PAN,2000,14572.98,North America,9.24,3010376.0,North America
1300,Panama,PAN,2005,16867.967,North America,9.51,3313024.0,North America
1301,Panama,PAN,2010,22739.12,North America,9.72,3628537.0,North America
1302,Panama,PAN,2015,29933.168,North America,10.06,3960034.0,North America
1305,Panama,PAN,2020,26881.828,North America,10.44,4293258.0,North America
1310,Papua New Guinea,PNG,2015,4155.0557,Oceania,4.61,8743247.0,Oceania
1312,Papua New Guinea,PNG,2020,4078.1538,Oceania,4.84,9815743.0,Oceania
1314,Paraguay,PRY,1990,9961.222,South America,6.43,4035752.0,South America
1316,Paraguay,PRY,1995,10906.895,South America,6.4,4579803.0,South America
1317,Paraguay,PRY,2000,9997.33,South America,6.55,5100875.0,South America
1318,Paraguay,PRY,2005,10288.801,South America,8.03,5448100.0,South America
1322,Paraguay,PRY,2010,12736.968,South America,7.99,5737973.0,South America
1326,Paraguay,PRY,2015,14425.777,South America,8.4,6159106.0,South America
1330,Paraguay,PRY,2020,14989.767,South America,8.83,6603741.0,South America
1331,Peru,PER,1990,6316.227,South America,7.39,22014772.0,South America
1333,Peru,PER,1995,7371.048,South America,8.09,24348922.0,South America
1334,Peru,PER,2000,7668.0605,South America,9.05,26598328.0,South America
1336,Peru,PER,2005,8948.747,South America,9.88,28101175.0,South America
1339,Peru,PER,2010,12057.392,South America,9.28,29086021.0,South America
1342,Peru,PER,2015,14540.831,South America,9.61,30457598.0,South America
1346,Peru,PER,2020,13607.764,South America,9.96,32838577.0,South America
1347,Philippines,PHL,1990,4504.4624,Asia,7.15,62854668.0,Asia
1349,Philippines,PHL,1995,4477.323,Asia,7.59,70546245.0,Asia
1350,Philippines,PHL,2000,4740.439,Asia,7.96,79625401.0,Asia
1352,Philippines,PHL,2005,5386.8164,Asia,8.27,88015959.0,Asia
1354,Philippines,PHL,2010,6273.039,Asia,8.65,96337127.0,Asia
1356,Philippines,PHL,2015,7691.763,Asia,9.14,105312988.0,Asia
1358,Philippines,PHL,2020,8455.185,Asia,9.44,112081270.0,Asia
1359,Poland,POL,1990,12821.464,Europe,9.75,38055448.0,Europe
1360,Poland,POL,1995,14227.566,Europe,10.32,38364668.0,Europe
1361,Poland,POL,2000,18566.355,Europe,10.74,38258077.0,Europe
1362,Poland,POL,2005,21568.947,Europe,11.36,38124377.0,Europe
1363,Poland,POL,2010,27112.133,Europe,11.62,38095356.0,Europe
1364,Poland,POL,2015,31700.37,Europe,11.84,38266314.0,Europe
1365,Poland,POL,2020,37852.8,Europe,12.01,38171005.0,Europe
1366,Portugal,PRT,1990,27190.572,Europe,6.73,9989526.0,Europe
1368,Portugal,PRT,1995,29460.814,Europe,7.49,10031756.0,Europe
1369,Portugal,PRT,2000,35069.83,Europe,8.41,10283196.0,Europe
1370,Portugal,PRT,2005,35870.31,Europe,8.12,10502993.0,Europe
1371,Portugal,PRT,2010,36703.113,Europe,8.71,10578659.0,Europe
1373,Portugal,PRT,2015,35803.36,Europe,9.14,10370264.0,Europe
1374,Portugal,PRT,2020,36852.23,Europe,9.56,10370519.0,Europe
1388,Qatar,QAT,2015,123070.89,Asia,8.46,2427340.0,Asia
1391,Qatar,QAT,2020,103061.914,Asia,8.52,2803375.0,Asia
1394,Romania,ROU,1990,16316.845,Europe,9.84,22939530.0,Europe
1396,Romania,ROU,1995,14863.186,Europe,10.37,22657722.0,Europe
1397,Romania,ROU,2000,14853.606,Europe,10.7,22046264.0,Europe
1399,Romania,ROU,2005,20570.926,Europe,10.89,21213395.0,Europe
1400,Romania,ROU,2010,24902.904,Europe,11.24,20432575.0,Europe
1402,Romania,ROU,2015,29181.879,Europe,11.07,19871018.0,Europe
1403,Romania,ROU,2020,35283.605,Europe,11.28,19392467.0,Europe
1405,Russia,RUS,1990,29643.596,Europe,10.21,148979537.0,Europe
1406,Russia,RUS,1995,18363.713,Europe,10.73,148291406.0,Europe
1407,Russia,RUS,2000,20104.75,Europe,11.54,146717784.0,Europe
1409,Russia,RUS,2005,27656.658,Europe,11.76,144597886.0,Europe
1410,Russia,RUS,2010,33063.586,Europe,12.02,143934468.0,Europe
1411,Russia,RUS,2015,35037.152,Europe,11.56,145307612.0,Europe
1412,Russia,RUS,2020,36376.336,Europe,11.6,146371295.0,Europe
1418,Rwanda,RWA,2015,2313.0972,Africa,4.62,11640026.0,Africa
1420,Rwanda,RWA,2020,2617.707,Africa,5.24,13065838.0,Africa
1436,Saudi Arabia,SAU,2015,58498.54,Asia,9.34,29974944.0,Asia
1438,Saudi Arabia,SAU,2020,57420.734,Asia,9.86,30991206.0,Asia
1439,Senegal,SEN,1990,2923.3442,Africa,2.37,7720524.0,Africa
1440,Senegal,SEN,1995,2835.0327,Africa,2.26,8848112.0,Africa
1441,Senegal,SEN,2000,3093.2878,Africa,1.98,9968262.0,Africa
1443,Senegal,SEN,2005,3301.8208,Africa,1.67,11235473.0,Africa
1446,Senegal,SEN,2010,3403.5671,Africa,3.11,12635418.0,Africa
1449,Senegal,SEN,2015,3593.7947,Africa,3.73,14593335.0,Africa
1454,Senegal,SEN,2020,4018.0413,Africa,4.4,16789217.0,Africa
1456,Serbia,SRB,1995,9444.752,Europe,8.88,7823281.0,Europe
1457,Serbia,SRB,2000,11105.949,Europe,9.52,7694608.0,Europe
1459,Serbia,SRB,2005,15077.559,Europe,10.6,7539139.0,Europe
1460,Serbia,SRB,2010,17841.432,Europe,11.52,7395872.0,Europe
1462,Serbia,SRB,2015,18247.809,Europe,11.49,7177257.0,Europe
1465,Serbia,SRB,2020,21479.078,Europe,11.72,6907814.0,Europe
1470,Sierra Leone,SLE,1990,2703.599,Africa,2.17,4196834.0,Africa
1471,Sierra Leone,SLE,1995,2058.077,Africa,2.55,4179178.0,Africa
1472,Sierra Leone,SLE,2000,1981.5061,Africa,2.9,4423615.0,Africa
1474,Sierra Leone,SLE,2005,2296.6577,Africa,3.36,5501707.0,Africa
1475,Sierra Leone,SLE,2010,2459.768,Africa,4.28,6222715.0,Africa
1477,Sierra Leone,SLE,2015,2628.1707,Africa,4.23,7037660.0,Africa
1481,Sierra Leone,SLE,2020,2752.6262,Africa,4.99,7912557.0,Africa
1489,Singapore,SGP,2015,109894.04,Asia,12.54,5525343.0,Asia
1494,Singapore,SGP,2020,116684.21,Asia,13.06,5620151.0,Asia
1496,Slovakia,SVK,2015,33507.793,Europe,13.03,5420278.0,Europe
1497,Slovakia,SVK,2020,36201.49,Europe,13.14,5455028.0,Europe
1499,Slovenia,SVN,2015,38534.645,Europe,11.95,2059946.0,Europe
1500,Slovenia,SVN,2020,42471.523,Europe,12.06,2102421.0,Europe
1504,South Africa,ZAF,1990,10811.151,Africa,6.89,40746274.0,Africa
1505,South Africa,ZAF,1995,10318.839,Africa,8.37,44541557.0,Africa
1507,South Africa,ZAF,2000,11183.825,Africa,7.92,47159715.0,Africa
1508,South Africa,ZAF,2005,12861.563,Africa,8.86,49490041.0,Africa
1511,South Africa,ZAF,2010,14164.996,Africa,9.89,52344047.0,Africa
1515,South Africa,ZAF,2015,14541.675,Africa,10.15,56723536.0,Africa
1518,South Africa,ZAF,2020,13250.566,Africa,10.47,60562374.0,Africa
1554,South Korea,KOR,1990,14377.884,Asia,10.46,44081425.0,Asia
1555,South Korea,KOR,1995,20697.896,Asia,11.17,45368425.0,Asia
1556,South Korea,KOR,2000,26404.158,Asia,11.8,46766660.0,Asia
1557,South Korea,KOR,2005,32886.047,Asia,12.27,47851646.0,Asia
1559,South Korea,KOR,2010,39574.05,Asia,12.96,48769329.0,Asia
1560,South Korea,KOR,2015,44849.105,Asia,13.33,50983909.0,Asia
1561,South Korea,KOR,2020,49374.094,Asia,13.68,51858481.0,Asia
1562,Spain,ESP,1990,31773.227,Europe,7.51,39084975.0,Europe
1564,Spain,ESP,1995,33501.73,Europe,8.72,40052733.0,Europe
1565,Spain,ESP,2000,39945.9,Europe,9.65,41019772.0,Europe
1567,Spain,ESP,2005,43570.766,Europe,10.64,43958883.0,Europe
1572,Spain,ESP,2010,42695.527,Europe,10.75,46840469.0,Europe
1577,Spain,ESP,2015,43053.76,Europe,11.24,46683683.0,Europe
1580,Spain,ESP,2020,41553.45,Europe,11.51,47679482.0,Europe
1582,Sri Lanka,LKA,1990,4561.579,Asia,8.9,16352460.0,Asia
1583,Sri Lanka,LKA,1995,5523.312,Asia,9.83,17564065.0,Asia
1584,Sri Lanka,LKA,2000,6428.6133,Asia,10.77,19293056.0,Asia
1586,Sri Lanka,LKA,2005,7452.742,Asia,10.83,20216531.0,Asia
1589,Sri Lanka,LKA,2010,9832.187,Asia,10.67,20879092.0,Asia
1591,Sri Lanka,LKA,2015,13329.779,Asia,10.09,21729975.0,Asia
1596,Sri Lanka,LKA,2020,13886.651,Asia,10.33,22561808.0,Asia
1634,Sudan,SDN,1990,2460.1887,Africa,2.4,22021484.0,Africa
1635,Sudan,SDN,1995,2824.632,Africa,2.78,24672144.0,Africa
1636,Sudan,SDN,2000,3575.852,Africa,3.09,27816748.0,Africa
1637,Sudan,SDN,2005,4152.3228,Africa,3.31,31262447.0,Africa
1639,Sudan,SDN,2010,4219.837,Africa,3.49,35414403.0,Africa
1640,Sudan,SDN,2015,4159.1943,Africa,3.85,40024433.0,Africa
1641,Sudan,SDN,2020,3401.2498,Africa,4.38,46789237.0,Africa
1646,Sweden,SWE,1990,40199.707,Europe,11.03,8558571.0,Europe
1647,Sweden,SWE,1995,40385.215,Europe,11.41,8826298.0,Europe
1648,Sweden,SWE,2000,47868.508,Europe,11.72,8872099.0,Europe
1649,Sweden,SWE,2005,53198.67,Europe,11.86,9029771.0,Europe
1650,Sweden,SWE,2010,55520.434,Europe,11.95,9378234.0,Europe
1651,Sweden,SWE,2015,58955.64,Europe,11.89,9799483.0,Europe
1652,Sweden,SWE,2020,59458.28,Europe,11.93,10353682.0,Europe
1653,Switzerland,CHE,1990,63921.42,Europe,10.54,6713168.0,Europe
1654,Switzerland,CHE,1995,63169.28,Europe,10.41,7040481.0,Europe
1655,Switzerland,CHE,2000,68834.82,Europe,10.14,7184003.0,Europe
1656,Switzerland,CHE,2005,71414.35,Europe,10.82,7431824.0,Europe
1657,Switzerland,CHE,2010,76308.805,Europe,12.92,7825750.0,Europe
1658,Switzerland,CHE,2015,78325.75,Europe,12.95,8283940.0,Europe
1659,Switzerland,CHE,2020,79270.875,Europe,12.97,8640582.0,Europe
1660,Syria,SYR,1990,5952.3584,Asia,4.68,12579212.0,Asia
1661,Syria,SYR,1995,7589.397,Asia,4.77,14616804.0,Asia
1662,Syria,SYR,2000,7973.9814,Asia,4.79,16637884.0,Asia
1665,Syria,SYR,2005,9016.721,Asia,6.12,18814092.0,Asia
1666,Syria,SYR,2010,9749.574,Asia,7.07,22482417.0,Asia
1667,Syria,SYR,2015,5414.839,Asia,7.44,19424615.0,Asia
1668,Syria,SYR,2020,4810.611,Asia,7.92,21049431.0,Asia
1674,Tajikistan,TJK,2015,3041.4448,Asia,10.16,8643839.0,Asia
1675,Tajikistan,TJK,2020,3724.749,Asia,10.12,9749312.0,Asia
1679,Tanzania,TZA,2015,3111.4446,Africa,6.41,52020958.0,Africa
1680,Tanzania,TZA,2020,3449.8215,Africa,6.87,60972803.0,Africa
1682,Thailand,THA,1990,8702.899,Asia,5.21,54738329.0,Asia
1683,Thailand,THA,1995,11955.219,Asia,5.79,59098231.0,Asia
1684,Thailand,THA,2000,11623.787,Asia,6.09,63007815.0,Asia
1685,Thailand,THA,2005,14459.825,Asia,7.46,66017415.0,Asia
1686,Thailand,THA,2010,16732.188,Asia,8.47,68579443.0,Asia
1688,Thailand,THA,2015,18814.041,Asia,8.71,70540787.0,Asia
1692,Thailand,THA,2020,19950.285,Asia,9.32,71641484.0,Asia
1694,Togo,TGO,1990,2409.1482,Africa,4.3,3714023.0,Africa
1695,Togo,TGO,1995,2185.1956,Africa,4.62,4110452.0,Africa
1696,Togo,TGO,2000,2321.9504,Africa,5.05,4783721.0,Africa
1697,Togo,TGO,2005,2164.016,Africa,5.44,5413151.0,Africa
1700,Togo,TGO,2010,2181.5989,Africa,6.09,6325791.0,Africa
1702,Togo,TGO,2015,2588.2727,Africa,6.85,7071500.0,Africa
1705,Togo,TGO,2020,2861.2979,Africa,7.68,7788058.0,Africa
1710,Tonga,TON,2015,6195.433,Oceania,11.22,106110.0,Oceania
1713,Tonga,TON,2020,6981.304,Oceania,11.42,105721.0,Oceania
1715,Trinidad and Tobago,TTO,1990,11869.528,North America,8.71,1252215.0,North America
1716,Trinidad and Tobago,TTO,1995,13912.313,North America,9.22,1295167.0,North America
1717,Trinidad and Tobago,TTO,2000,19637.555,North America,9.72,1319781.0,North America
1718,Trinidad and Tobago,TTO,2005,29536.44,North America,10.27,1352040.0,North America
1719,Trinidad and Tobago,TTO,2010,35145.125,North America,10.96,1386657.0,North America
1720,Trinidad and Tobago,TTO,2015,38963.965,North America,11.0,1429190.0,North America
1721,Trinidad and Tobago,TTO,2020,30720.887,North America,11.28,1481026.0,North America
1722,Tunisia,TUN,1990,6742.5845,Africa,4.68,8324509.0,Africa
1723,Tunisia,TUN,1995,7406.239,Africa,5.48,9161263.0,Africa
1724,Tunisia,TUN,2000,9134.415,Africa,6.32,9764940.0,Africa
1726,Tunisia,TUN,2005,10529.16,Africa,7.21,10255474.0,Africa
1729,Tunisia,TUN,2010,12458.271,Africa,8.0,10765984.0,Africa
1733,Tunisia,TUN,2015,12802.792,Africa,8.63,11402270.0,Africa
1736,Tunisia,TUN,2020,11955.599,Africa,9.29,11974058.0,Africa
1739,Turkey,TUR,1990,12184.199,Asia,5.22,56015627.0,Asia
1740,Turkey,TUR,1995,13099.258,Asia,5.88,61024501.0,Asia
1741,Turkey,TUR,2000,14856.915,Asia,6.37,65425957.0,Asia
1743,Turkey,TUR,2005,17902.596,Asia,6.86,69329557.0,Asia
1747,Turkey,TUR,2010,19897.447,Asia,7.44,73346766.0,Asia
1752,Turkey,TUR,2015,25984.803,Asia,8.13,80014222.0,Asia
1756,Turkey,TUR,2020,28976.719,Asia,8.49,86091691.0,Asia
1761,Uganda,UGA,1990,1080.0383,Africa,3.71,17569895.0,Africa
1763,Uganda,UGA,1995,1288.5089,Africa,4.17,20665673.0,Africa
1764,Uganda,UGA,2000,1487.005,Africa,4.56,24000158.0,Africa
1766,Uganda,UGA,2005,1765.0378,Africa,5.11,27963287.0,Africa
1768,Uganda,UGA,2010,2244.606,Africa,5.87,32390801.0,Africa
1771,Uganda,UGA,2015,2520.02,Africa,6.27,37531444.0,Africa
1773,Uganda,UGA,2020,2678.009,Africa,6.69,44457148.0,Africa
1777,Ukraine,UKR,2015,15403.71,Europe,10.81,45784904.0,Europe
1778,Ukraine,UKR,2020,17092.54,Europe,10.82,44680008.0,Europe
1780,United Arab Emirates,ARE,2015,75238.555,Asia,9.35,8674633.0,Asia
1782,United Arab Emirates,ARE,2020,66808.62,Asia,9.57,9448529.0,Asia
1786,United Kingdom,GBR,1990,33530.957,Europe,9.28,57367867.0,Europe
1787,United Kingdom,GBR,1995,37200.38,Europe,9.67,58154632.0,Europe
1788,United Kingdom,GBR,2000,43818.348,Europe,9.97,59057333.0,Europe
1789,United Kingdom,GBR,2005,48304.676,Europe,11.57,60596107.0,Europe
1790,United Kingdom,GBR,2010,47682.652,Europe,12.46,63006482.0,Europe
1791,United Kingdom,GBR,2015,50462.832,Europe,12.67,65382107.0,Europe
1792,United Kingdom,GBR,2020,47930.55,Europe,12.9,67351860.0,Europe
1793,United States,USA,1990,44384.21,North America,12.55,253373387.0,North America
1794,United States,USA,1995,47227.008,North America,12.83,268205796.0,North America
1795,United States,USA,2000,55045.676,North America,13.1,281484126.0,North America
1796,United States,USA,2005,59612.39,North America,13.01,295716666.0,North America
1797,United States,USA,2010,59797.074,North America,13.24,311062785.0,North America
1798,United States,USA,2015,64367.72,North America,13.29,326126496.0,North America
1799,United States,USA,2020,67406.83,North America,13.32,339436156.0,North America
1834,Uruguay,URY,1990,14060.84,South America,7.71,3104404.0,South America
1835,Uruguay,URY,1995,16600.033,South America,8.08,3189438.0,South America
1837,Uruguay,URY,2000,18752.05,South America,8.36,3266212.0,South America
1838,Uruguay,URY,2005,18811.312,South America,8.5,3285776.0,South America
1843,Uruguay,URY,2010,24879.826,South America,8.61,3318581.0,South America
1848,Uruguay,URY,2015,28941.62,South America,8.65,3368022.0,South America
1853,Uruguay,URY,2020,27788.176,South America,8.76,3398966.0,South America
1872,Vietnam,VNM,2015,9248.024,Asia,7.99,92823254.0,Asia
1874,Vietnam,VNM,2020,11851.396,Asia,8.35,98079196.0,Asia
1876,Zambia,ZMB,1990,2425.1113,Africa,5.02,7786163.0,Africa
1877,Zambia,ZMB,1995,2119.9565,Africa,6.03,8785768.0,Africa
1879,Zambia,ZMB,2000,2220.5654,Africa,6.35,10017633.0,Africa
1881,Zambia,ZMB,2005,2564.4756,Africa,6.59,11718819.0,Africa
1882,Zambia,ZMB,2010,3266.5076,Africa,7.4,13965592.0,Africa
1883,Zambia,ZMB,2015,3576.9255,Africa,7.9,16399092.0,Africa
1885,Zambia,ZMB,2020,3391.5955,Africa,8.37,19059394.0,Africa
1888,Zimbabwe,ZWE,1990,6082.8687,Africa,5.97,10137287.0,Africa
1890,Zimbabwe,ZWE,1995,5964.615,Africa,6.85,10974607.0,Africa
1891,Zimbabwe,ZWE,2000,6170.361,Africa,7.26,11892055.0,Africa
1892,Zimbabwe,ZWE,2005,4004.682,Africa,7.65,12483433.0,Africa
1893,Zimbabwe,ZWE,2010,3885.4106,Africa,7.86,13356551.0,Africa
1894,Zimbabwe,ZWE,2015,5102.7363,Africa,8.03,14399008.0,Africa
1896,Zimbabwe,ZWE,2020,4527.7393,Africa,8.32,15526887.0,Africa
