,entity,code,year,adult_literacy_rate,youth_literacy_rate_male,youth_literacy_rate_female,owid_region
118,Brazil,BRA,2011,91.41,97.91,99.07,South America
119,Brazil,BRA,2012,91.34,98.23,99.02,South America
120,Brazil,BRA,2013,91.48,98.25,99.23,South America
121,Brazil,BRA,2014,91.73,98.45,99.25,South America
122,Brazil,BRA,2015,92.05,98.6,99.35,South America
123,Brazil,BRA,2016,92.81,98.78,99.46,South America
124,Brazil,BRA,2017,93.08,98.84,99.48,South America
125,Brazil,BRA,2018,93.23,98.98,99.43,South America
126,Brazil,BRA,2019,93.892624,98.7,99.5,South America
127,Brazil,BRA,2020,94.74441,99.0,99.5,South America
128,Brazil,BRA,2021,94.77261,99.1,99.5,South America
129,Brazil,BRA,2022,94.37687,99.0,99.6,South America
130,Brazil,BRA,2023,94.57255,99.0,99.6,South America
133,Brunei,BRN,1991,87.8,98.11,98.08,Asia
134,Brunei,BRN,2001,92.67,98.87,98.91,Asia
135,Brunei,BRN,2011,96.09,99.2,99.55,Asia
136,Bulgaria,BGR,2001,98.2,98.31,98.11,Europe
137,Bulgaria,BGR,2011,98.35,98.07,97.65,Europe
139,Burkina Faso,BFA,1991,13.57,26.79,14.17,Africa
140,Burkina Faso,BFA,1996,12.85,25.48,13.99,Africa
141,Burkina Faso,BFA,2003,21.82,38.38,24.81,Africa
142,Burkina Faso,BFA,2005,23.52,40.38,26.48,Africa
143,Burkina Faso,BFA,2006,22.47,39.82,26.53,Africa
144,Burkina Faso,BFA,2007,27.88,46.73,33.13,Africa
145,Burkina Faso,BFA,2014,34.6,56.99,43.99,Africa
146,Burkina Faso,BFA,2018,39.35,63.86,54.45,Africa
147,Burkina Faso,BFA,2019,29.66,51.15,43.56,Africa
148,Burkina Faso,BFA,2021,36.97,66.65,58.76,Africa
149,Burkina Faso,BFA,2022,40.92,65.47,60.57,Africa
152,Burundi,BDI,1990,37.38,59.5,48.01,Africa
153,Burundi,BDI,2000,59.3,76.78,70.37,Africa
154,Burundi,BDI,2008,48.08,66.61,57.32,Africa
155,Burundi,BDI,2014,61.29,85.29,74.96,Africa
156,Burundi,BDI,2016,65.69,86.76,82.09,Africa
157,Burundi,BDI,2017,68.38,91.03,85.62,Africa
158,Burundi,BDI,2020,71.33748,88.23915,88.52026,Africa
159,Cambodia,KHM,1998,67.34,81.85,71.07,Asia
160,Cambodia,KHM,2004,73.61,87.92,78.9,Asia
161,Cambodia,KHM,2008,76.87,89.38,85.53,Asia
162,Cambodia,KHM,2009,76.14,88.36,85.85,Asia
163,Cambodia,KHM,2013,79.65,91.27,90.23,Asia
164,Cambodia,KHM,2014,78.06,89.92,90.37,Asia
165,Cambodia,KHM,2015,80.53,91.86,92.57,Asia
166,Cambodia,KHM,2019,87.66,94.41,95.1,Asia
167,Cambodia,KHM,2020,82.55104,93.20434,95.40721,Asia
168,Cambodia,KHM,2021,71.93,90.31,93.51,Asia
170,Cameroon,CMR,2000,68.41,88.42,77.96,Africa
171,Cameroon,CMR,2007,70.68,89.42,77.48,Africa
172,Cameroon,CMR,2010,71.19,85.4,76.42,Africa
173,Cameroon,CMR,2018,72.55,87.6,76.39,Africa
174,Cape Verde,CPV,1990,62.8,89.95,86.42,Africa
175,Cape Verde,CPV,2009,82.218956,96.15344,97.89744,Africa
176,Cape Verde,CPV,2012,85.33,97.87,98.4,Africa
177,Cape Verde,CPV,2015,86.79,97.59,98.73,Africa
179,Cayman Islands,CYM,2007,98.87,99.14,98.62,North America
180,Cayman Islands,CYM,2017,98.87,99.14,98.62,North America
183,Central African Republic,CAF,2000,50.65,72.59,49.02,Africa
184,Central African Republic,CAF,2019,42.44,64.9,36.68,Africa
235,Chad,TCD,1993,10.89,26.25,8.95,Africa
236,Chad,TCD,2000,25.65,55.69,23.24,Africa
237,Chad,TCD,2004,28.38,53.71,30.77,Africa
238,Chad,TCD,2016,22.31,40.69,22.39,Africa
239,Chad,TCD,2019,30.63,56.26,33.32,Africa
241,Chile,CHL,1992,94.29,98.16,98.7,South America
242,Chile,CHL,2002,95.72,98.8,99.18,South America
243,Chile,CHL,2011,96.7,99.21,99.61,South America
244,Chile,CHL,2013,96.27,99.01,99.09,South America
245,Chile,CHL,2015,96.87,99.27,99.44,South America
246,Chile,CHL,2017,96.4,99.01,99.01,South America
248,China,CHN,1990,77.79,96.98,91.45,Asia
249,China,CHN,2000,90.92,99.2,98.5,Asia
250,China,CHN,2010,95.12,99.69,99.59,Asia
251,China,CHN,2020,96.74,99.75,99.76,Asia
252,Colombia,COL,1993,91.06,94.64,96.28,South America
253,Colombia,COL,1996,91.21,96.39,97.57,South America
254,Colombia,COL,2004,92.8,97.55,98.41,South America
255,Colombia,COL,2005,92.85,97.52,98.37,South America
256,Colombia,COL,2006,92.3,97.53,98.19,South America
257,Colombia,COL,2007,92.65,97.48,98.42,South America
258,Colombia,COL,2008,93.38,97.55,98.43,South America
259,Colombia,COL,2009,93.24,97.44,98.43,South America
260,Colombia,COL,2010,93.37,97.68,98.52,South America
261,Colombia,COL,2011,93.58,97.76,98.72,South America
262,Colombia,COL,2014,94.19,98.11,98.97,South America
263,Colombia,COL,2015,94.25,98.16,98.92,South America
264,Colombia,COL,2016,94.65,98.31,99.03,South America
265,Colombia,COL,2017,94.88739,98.3,99.0,South America
266,Colombia,COL,2018,95.09,98.63,99.07,South America
267,Colombia,COL,2019,95.25,98.5,99.16,South America
268,Colombia,COL,2020,95.64,98.73,99.29,South America
269,Colombia,COL,2021,95.66065,98.8,99.4,South America
270,Colombia,COL,2022,95.31031,98.6,99.2,South America
271,Colombia,COL,2023,95.45663,98.7,99.2,South America
274,Comoros,COM,2000,68.25,83.95,77.56,Africa
275,Comoros,COM,2014,73.6495,87.35409,84.79115,Africa
276,Comoros,COM,2021,75.6202,90.2747,91.43615,Africa
278,Congo,COG,2005,76.11,88.25,70.54,Africa
280,Costa Rica,CRI,2000,94.87,97.2,98.04,North America
281,Costa Rica,CRI,2011,97.41,99.01,99.26,North America
283,Cote d'Ivoire,CIV,1998,36.35,54.4,39.85,Africa
284,Cote d'Ivoire,CIV,2000,48.74,70.84,52.13,Africa
285,Cote d'Ivoire,CIV,2014,43.91,59.12,47.04,Africa
286,Cote d'Ivoire,CIV,2016,50.04,71.99,54.74,Africa
287,Cote d'Ivoire,CIV,2019,56.95924,76.12893,61.00851,Africa
288,Cote d'Ivoire,CIV,2021,50.0,76.16,58.32,Africa
289,Croatia,HRV,1991,96.7,99.67,99.6,Europe
290,Croatia,HRV,2001,98.15,99.64,99.65,Europe
291,Cuba,CUB,2002,99.8,99.96,99.95,North America
292,Cuba,CUB,2012,99.67,99.86,99.9,North America
293,Cuba,CUB,2019,97.65,99.53,99.71,North America
294,Cyprus,CYP,1992,94.36,99.58,99.66,Europe
295,Cyprus,CYP,2001,96.8,99.74,99.82,Europe
296,Cyprus,CYP,2011,98.68,99.8,99.84,Europe
297,Democratic Republic of Congo,COD,2001,67.17,77.98,63.09,Africa
298,Democratic Republic of Congo,COD,2012,75.02,91.05,76.66,Africa
299,Democratic Republic of Congo,COD,2016,77.04,90.96,79.71,Africa
